@babel/code-frame,7.0.0-beta.44,MIT,https://babeljs.io/
@babel/code-frame,7.0.0-rc.4,MIT,https://babeljs.io/
@babel/generator,7.0.0-beta.44,MIT,https://babeljs.io/
@babel/helper-function-name,7.0.0-beta.44,MIT,Unknown
@babel/helper-get-function-arity,7.0.0-beta.44,MIT,Unknown
@babel/helper-module-imports,7.0.0,MIT,https://babeljs.io/
@babel/helper-split-export-declaration,7.0.0-beta.44,MIT,Unknown
@babel/highlight,7.0.0-beta.44,MIT,https://babeljs.io/
@babel/highlight,7.0.0-rc.4,MIT,https://babeljs.io/
@babel/runtime,7.0.0,MIT,Unknown
@babel/runtime,7.0.0-beta.42,MIT,Unknown
@babel/runtime,7.0.0-rc.1,MIT,Unknown
@babel/runtime,7.1.5,MIT,Unknown
@babel/template,7.0.0-beta.44,MIT,https://babeljs.io/
@babel/traverse,7.0.0-beta.44,MIT,https://babeljs.io/
@babel/types,7.0.0-beta.44,MIT,https://babeljs.io/
@babel/types,7.1.6,MIT,https://babeljs.io/
@cwds/components,0.6.1,AGPL-3.0,https://cws-cares.netlify.com/
@cwds/core,0.5.6,AGPL-3.0,http:
@cwds/core,0.6.1,AGPL-3.0,http:
@cwds/datagrid,0.6.1,AGPL-3.0,https://cws-cares.netlify.com/apps/datagrid
@cwds/icons,0.6.1,AGPL-3.0,https://cws-cares.netlify.com/
@cwds/reactstrap,0.6.1,AGPL-3.0,https://cws-cares.netlify.com/libs/reactstrap
@emotion/babel-utils,0.6.10,MIT,Unknown
@emotion/hash,0.6.6,MIT,Unknown
@emotion/memoize,0.6.6,MIT,Unknown
@emotion/serialize,0.9.1,MIT,Unknown
@emotion/stylis,0.7.1,MIT,Unknown
@emotion/unitless,0.6.7,MIT,Unknown
@emotion/utils,0.8.2,MIT,Unknown
@fortawesome/fontawesome-common-types,0.2.8,MIT,https://fontawesome.com/
@fortawesome/fontawesome-svg-core,1.2.8,MIT,https://fontawesome.com/
@fortawesome/free-regular-svg-icons,5.5.0,(CC-BY-4.0 AND MIT),https://fontawesome.com/
@fortawesome/free-solid-svg-icons,5.5.0,(CC-BY-4.0 AND MIT),https://fontawesome.com/
@fortawesome/react-fontawesome,0.1.3,MIT,https://github.com/FortAwesome/react-fontawesome
@material-ui/core,3.1.1,MIT,http://material-ui.com/
@material-ui/icons,3.0.1,MIT,https://github.com/mui-org/material-ui/tree/master/packages/material-ui-icons
@most/multicast,1.3.0,MIT,https://github.com/mostjs/multicast#readme
@most/prelude,1.7.2,MIT,https://github.com/mostjs/prelude#readme
@rails/webpacker,3.5.5,MIT,https://github.com/rails/webpacker
@types/cookie,0.3.1,MIT,Unknown
@types/jss,9.5.4,MIT,Unknown
@types/node,10.9.2,MIT,Unknown
@types/object-assign,4.0.30,MIT,Unknown
@types/prop-types,15.5.5,MIT,Unknown
@types/react,16.4.12,MIT,Unknown
@types/react-transition-group,2.0.13,MIT,Unknown
Stickyfill,1.1.5,MIT,https://github.com/wilddeer/stickyfill
abab,2.0.0,SEE LICENSE IN LICENSE.md,https://github.com/jsdom/abab#readme
abbrev,1.1.1,ISC,Unknown
accepts,1.3.5,MIT,Unknown
acorn,4.0.13,MIT,https://github.com/ternjs/acorn
acorn,5.7.2,MIT,https://github.com/acornjs/acorn
acorn-dynamic-import,2.0.2,MIT,https://github.com/kesne/acorn-dynamic-import
acorn-globals,4.1.0,MIT,Unknown
acorn-jsx,4.1.1,MIT,https://github.com/RReverser/acorn-jsx
actioncable,5.2.1.1,MIT,http://rubyonrails.org
actionmailer,5.2.1.1,MIT,http://rubyonrails.org
actionpack,5.2.1.1,MIT,http://rubyonrails.org
actionview,5.2.1.1,MIT,http://rubyonrails.org
activejob,5.2.1.1,MIT,http://rubyonrails.org
activemodel,5.2.1.1,MIT,http://rubyonrails.org
activerecord,5.2.1.1,MIT,http://rubyonrails.org
activestorage,5.2.1.1,MIT,http://rubyonrails.org
activesupport,5.2.1.1,MIT,http://rubyonrails.org
addressable,2.5.2,Apache 2.0,https://github.com/sporkmonger/addressable
